번호,개방서비스명,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체
23,병원,2001-10-18,1,영업/정상,13,영업중,,,,,041-563-2875,0,330-993,충청남도 천안시 동남구 신부동 462번지 7호,"충청남도 천안시 동남구 만남로 52, 9층 (신부동, 문타워빌딩)",31123,문치과병원,2024-01-19 15:44,2024-01-21 2:40,치과병원,214012.4234,368594.262,치과병원,6,3,5,0,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",,,,0,0,,,0,,시군구
24,병원,2002-02-05,1,영업/정상,13,영업중,,,,,041-579-1400,3164,,,"충청남도 천안시 서북구 충무로 165, 외 1(충무로 161) (쌍용동)",31174,이화병원,2024-01-22 14:38,2024-01-24 2:40,병원,211120.7276,365871.7265,병원,34,26,63,3164,101 102 104 110 111 116,"내과, 신경과, 외과, 산부인과, 소아청소년과, 영상의학과",,,,0,0,,,0,,시군구
25,병원,2006-10-09,1,영업/정상,13,영업중,,,,,579-2244,,331-945,충청남도 천안시 서북구 쌍용1동 220번지 13호,충청남도 천안시 서북구 서부대로 350 (쌍용동),31180,연세우일치과병원,2023-02-13 13:09,2023-02-15 2:40,치과병원,211224.4304,366355.2625,치과병원,3,0,0,990,411 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과",,,,0,0,,,0,,시군구
26,병원,2008-10-17,1,영업/정상,13,영업중,,,,,041-569-5533,6347,,,"충청남도 천안시 동남구 삼룡천3길 10 (구성동, 이라의료재단 천안병원)",31193,천안요양병원,2024-01-12 9:18,2024-01-14 2:40,요양병원(일반요양병원),214561.3428,365516.9801,요양병원(일반요양병원),31,43,238,6347,101 104 111 120 122 301,"내과, 외과, 소아청소년과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
27,병원,2009-03-24,1,영업/정상,13,영업중,,,,,041)566-5119,,,"충청남도 천안시 서북구 불당동 732번지 리치프라자 5,7,8,9층","충청남도 천안시 서북구 검은들3길 60, 리치프라자 (불당동)",31163,마음애병원,2023-03-10 5:13,2023-07-14 2:40,정신병원,209759.6506,367613.1621,정신병원,6,15,55,1964.33,103,정신건강의학과,,,,0,0,,,0,,시군구
28,병원,2009-02-05,1,영업/정상,13,영업중,,,,,041-553-1234,2465,330-846,충청남도 천안시 동남구 목천읍 신계리 394번지 3호,충청남도 천안시 동남구 목천읍 충절로 794,31233,의료법인세온의료재단브라운요양병원,2024-01-12 9:17,2024-01-14 2:40,요양병원(일반요양병원),217792.9378,363014.2889,요양병원(일반요양병원),13,31,159,2465,308 301 122 104 102 101,"내과, 신경과, 외과, 가정의학과, 한방내과, 침구과",,,,0,0,,,0,,시군구
29,병원,2009-04-24,1,영업/정상,13,영업중,,,,,-5684,831.69,,충청남도 천안시 서북구 쌍용동 494-17 우리척병원,충청남도 천안시 서북구 충무로 155 (쌍용동),31174,우리척병원,2023-12-13 10:47,2023-12-15 2:40,병원,211044.0857,365848.8471,병원,7,16,52,831.69,105 106 109 116,"정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
30,병원,2009-10-30,1,영업/정상,13,영업중,,,,,041-417-3500,,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 6층 601~603호 (불당동)",31156,참조은치과병원,2023-02-09 17:47,2023-02-11 2:40,치과병원,209591.4828,367992.5044,치과병원,5,0,0,718.3,412 407 406 405 404 403,"치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 통합치의학과",,,,0,0,,,0,,시군구
31,병원,2010-03-04,1,영업/정상,13,영업중,,,,,041-579-2122,4607,331-210,충청남도 천안시 서북구 두정동 633번지,충청남도 천안시 서북구 동서대로 65 (두정동),31099,두정이진병원,2024-01-12 9:56,2024-01-14 2:40,병원,211575.0232,369413.5704,병원,39,36,59,4607,111,소아청소년과,,,,0,0,,,0,,시군구
32,병원,2010-04-21,1,영업/정상,13,영업중,,,,,1544-2822,3797.63,,충청남도 천안시 서북구 백석동 117번지,"충청남도 천안시 서북구 한들3로 9 (백석동, 서울우리병원)",31097,서울우리병원,2023-11-13 12:58,2023-11-15 2:40,병원,210948.7783,369227.7337,병원,26,15,58,3797.63,106 109 116 105,"정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
33,병원,2016-07-22,1,영업/정상,13,영업중,,,,,041-568-2632,2182.17,,충청남도 천안시 서북구 두정동 397-4 1층~3층,"충청남도 천안시 서북구 천안대로 1024-5, 1층~3층 (두정동)",31112,제중한방병원,2024-01-05 11:24,2024-01-07 2:40,한방병원,213531.0077,370237.5626,한방병원,8,23,46,2182.17,308 307 306 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
34,병원,2016-11-03,1,영업/정상,13,영업중,,,,,041-575-6000,2719.57,,충청남도 천안시 서북구 쌍용동 220-42 천안본정형외과,충청남도 천안시 서북구 불당대로 268 (쌍용동),31173,본정형외과병원,2024-01-26 16:23,2024-01-28 2:40,병원,211163.4847,366480.645,병원,25,16,60,2719.57,120 116 111 109 106 105,"정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과",,,,0,0,,,0,,시군구
35,병원,2017-01-03,1,영업/정상,13,영업중,,,,,041-590-7777,7214.77,,충청남도 천안시 서북구 직산읍 양당리 216번지 10호,충청남도 천안시 서북구 직산읍 석양길 4,31029,다나힐요양병원,2024-01-12 9:56,2024-01-14 2:40,요양병원(일반요양병원),209521.7714,376009.9756,요양병원(일반요양병원),29,69,290,7214.77,308 301 122 120 114 113 111 106 104 102 101,"내과, 신경과, 외과, 신경외과, 소아청소년과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 침구과",,,,0,0,,,0,,시군구
36,병원,2017-01-04,1,영업/정상,13,영업중,,,,,1522-7634,1853,,충청남도 천안시 서북구 두정동 1036번지,충청남도 천안시 서북구 부성6길 39-11 (두정동),31100,천안21세기병원,2024-01-12 9:56,2024-01-14 2:40,병원,212230.0991,370584.4589,병원,15,10,55,1853,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
37,병원,2017-02-14,1,영업/정상,13,영업중,,,,,041-576-5700,2637.73,,충청남도 천안시 서북구 불당동 1640,"충청남도 천안시 서북구 불당33길 1, 외1(불당25로104) (불당동)",31156,앙즈로여성병원,2023-11-20 10:27,2023-11-22 2:40,병원,209473.3289,367678.5884,병원,24,25,46,2637.73,111 110 104,"외과, 산부인과, 소아청소년과",,,,0,0,,,0,,시군구
38,병원,2017-03-16,1,영업/정상,13,영업중,,,,,041-555-2879,507,,충청남도 천안시 서북구 불당동 1617,충청남도 천안시 서북구 불당33길 26 (불당동),31156,더보스톤치과병원,2024-01-22 14:38,2024-01-24 2:40,치과병원,209553.4241,367899.3411,치과병원,6,0,0,507,412 411 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과",,,,0,0,,,0,,시도
39,병원,2017-03-23,1,영업/정상,13,영업중,,,,,041415-0001,4780,,,충청남도 천안시 서북구 불당33길 18 (불당동),31156,서울대정병원,2024-01-22 16:56,2024-01-24 2:40,병원,209566.0054,367803.7787,병원,21,40,132,4780,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시도
40,병원,2017-04-19,1,영업/정상,13,영업중,,,,,041-567-2580,3004.63,,충청남도 천안시 동남구 병천면 병천리 176-7,충청남도 천안시 동남구 병천면 충절로 1782,31254,천안희망병원,2024-01-12 5:43,2024-01-14 2:40,정신병원,226969.2299,362368.3872,정신병원,20,43,238,3004.63,103 102 101,"내과, 신경과, 정신건강의학과",,,,0,0,,,0,,시군구
41,병원,2017-04-21,1,영업/정상,13,영업중,,,,,041-410-2100,3605,,충청남도 천안시 동남구 구성동 313-1,충청남도 천안시 동남구 청수로 123-11(구성동),31191,로고스요양병원,2023-12-26 17:52,2023-12-28 2:40,요양병원(일반요양병원),214004.8082,365919.1811,요양병원(일반요양병원),25,35,172,3605,308 307 306 305 304 303 302 301 122 120 119 116 115 114 113 110 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
42,병원,2017-08-25,1,영업/정상,13,영업중,,,,,041-413-7100,4611,,충청남도 천안시 동남구 유량동 327번지 외 1필지,"충청남도 천안시 동남구 유량로 180 (유량동, 메디움천안요양병원)",31068,메디움천안요양병원,2023-12-26 17:50,2023-12-28 2:40,요양병원(일반요양병원),215832.6836,367761.5543,요양병원(일반요양병원),19,49,97,4611,301 104,"외과, 한방내과",,,,0,0,,,0,,시군구
43,병원,2017-09-22,1,영업/정상,13,영업중,,,,,041-571-7581,5253.98,,충청남도 천안시 서북구 불당동 1488 NS타워,"충청남도 천안시 서북구 불당25로 200, 2,3,4,5층 (불당동)",31156,SG삼성조은병원,2023-12-13 10:46,2023-12-15 2:40,병원,209670.8838,368612.2603,병원,69,32,153,5253.98,122 120 116 102 101,"내과, 신경과, 영상의학과, 재활의학과, 가정의학과",,,,0,0,,,0,,시도
44,병원,2018-07-09,1,영업/정상,13,영업중,,,,,041-574-1777,3857.45,,충청남도 천안시 서북구 쌍용동 494번지 3호 쌍용가구백화점,"충청남도 천안시 서북구 충무로 167-12, 쌍용가구백화점 2층 (쌍용동)",31174,천안쌍용요양병원,2023-11-13 12:59,2023-11-15 2:40,요양병원(일반요양병원),211102.5225,365944.9139,요양병원(일반요양병원),17,38,187,3857.45,308 301 122 120 106 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과",,,,0,0,,,0,,시군구
45,병원,2018-07-24,1,영업/정상,13,영업중,,,,,041-581-9999,1843.14,,충청남도 천안시 서북구 불당동 1840번지,"충청남도 천안시 서북구 불당34길 18, 1층,3~5층 (불당동)",31156,마디손병원,2023-11-13 13:07,2023-11-15 2:40,병원,209425.1917,367232.6368,병원,15,19,57,1843.14,125 122 120 119 118 116 115 114 113 112 111 110 109 108 107 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과",,,,0,0,,,0,,시도
46,병원,2008-06-02,1,영업/정상,13,영업중,,,,,041-552-0700,,,충청남도 천안시 동남구 구성동 476번지 2호,충청남도 천안시 동남구 구성2길 11 (구성동),31192,천안세인트요양병원,2023-06-21 13:15,2023-06-23 2:40,요양병원(일반요양병원),214189.3793,366340.8054,요양병원(일반요양병원),16,22,112,2734,308 307 306 305 304 303 302 122 120 111 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 소아청소년과, 재활의학과, 가정의학과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
47,병원,2007-03-26,1,영업/정상,13,영업중,,,,,041-561-0245,3497.14,,충청남도 천안시 서북구 성정동 1520 MS빌딩,충청남도 천안시 서북구 동서대로 129-16 (성정동),31109,천안중앙병원,2024-01-26 3:13,2024-01-28 2:40,정신병원,212233.7657,369539.2873,정신병원,20,50,226,3497.14,122 103 102,"신경과, 정신건강의학과, 가정의학과",,,,0,0,,,0,,시군구
48,병원,2008-01-17,1,영업/정상,13,영업중,,,,,622-1300,4772.32,331-959,충청남도 천안시 서북구 두정동 943번지,충청남도 천안시 서북구 원두정3길 37 (두정동),31107,화인메트로병원,2024-01-05 11:25,2024-01-07 2:40,병원,212143.9017,370237.1862,병원,12,11,57,4772.32,116 109 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
49,병원,2008-05-22,1,영업/정상,13,영업중,,,,,041-579-1190,2160,,충청남도 천안시 서북구 성정동 954번지,충청남도 천안시 서북구 도원4길 7 (성정동),31139,큰사랑요양병원,2023-11-13 12:59,2023-11-15 2:40,요양병원(일반요양병원),211795.1153,368714.3902,요양병원(일반요양병원),14,29,157,2160,301 107 104 101,"내과, 외과, 심장혈관흉부외과, 한방내과",,,,0,0,,,0,,시군구
50,병원,2008-05-02,1,영업/정상,13,영업중,,,,,041-520-7010,5215,,충청남도 천안시 동남구 유량동 398번지 1호,"충청남도 천안시 동남구 향교1길 130-23 (유량동, 새로나병원)",31068,새로나병원,2024-01-26 11:53,2024-01-28 2:40,병원,215043.5896,367920.8175,병원,42,38,177,5215,120 104 102,"신경과, 외과, 재활의학과",,,,0,0,,,0,,시군구
51,병원,1984-09-20,1,영업/정상,13,영업중,,,,,041-550-0114,12924,330-714,충청남도 천안시 동남구 안서동 522번지 133호,충청남도 천안시 동남구 단대로 119 (안서동),31116,단국대학교치과대학치과병원,2024-01-26 11:53,2024-01-28 2:40,치과병원,215074.4744,370829.4213,치과병원,134,0,0,12924,412 411 409 408 407 406 405 404 403 402 109,"마취통증의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과",,,,0,0,,,0,,시군구
52,병원,2019-04-25,1,영업/정상,13,영업중,,,,,1577-0007,2062.93,,"충청남도 천안시 서북구 불당동 1537-1 정석프라자 8,9층","충청남도 천안시 서북구 불당21로 71, 정석프라자 8,9층 (불당동)",31156,천안자생한방병원,2024-01-16 14:19,2024-01-18 2:40,한방병원,209581.6233,367955.3678,한방병원,44,16,62,2062.93,308 307 306 305 304 303 302 301 116 101,"내과, 영상의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시도
53,병원,2010-11-12,1,영업/정상,13,영업중,,,,,041-565-2300,7096,331-980,충청남도 천안시 서북구 백석동 836번지,충청남도 천안시 서북구 백석5길 4 (백석동),31159,백석요양병원,2023-11-13 13:07,2023-11-15 2:40,요양병원(일반요양병원),211311.0208,368898.3263,요양병원(일반요양병원),32,48,231,7096,101 120 122 102 301 308 106 105 104,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과",,,,0,0,,,0,,시군구
54,병원,2011-06-09,1,영업/정상,13,영업중,,,,,041-555-8275,3201.58,,충청남도 천안시 동남구 성황동 71-1 화정빌딩,"충청남도 천안시 동남구 대흥로 288, 화정빌딩 지하2층~지상6층 (성황동)",31122,의료법인 혜강의료재단 혜강병원,2024-01-05 6:43,2024-01-07 2:40,정신병원,213277.8016,368008.5322,정신병원,18,46,199,3201.58,101 102 103 105 114 115 122,"내과, 신경과, 정신건강의학과, 정형외과, 피부과, 비뇨의학과, 가정의학과",,,,0,0,,,0,,시군구
55,병원,2011-09-26,1,영업/정상,13,영업중,,,,,041-567-2277,894.03,,"충청남도 천안시 서북구 불당동 705 메디컬타워, 5층, 7층","충청남도 천안시 서북구 검은들1길 20, 메디컬타워 5층, 7층 (불당동)",31163,의료법인아선의료재단메디케어요양병원,2024-01-12 9:55,2024-01-14 2:40,요양병원(일반요양병원),209764.1787,367772.3828,요양병원(일반요양병원),4,10,61,894.03,101 104 102 120 122 301 308,"내과, 신경과, 외과, 재활의학과, 가정의학과, 한방내과, 침구과",,,,0,0,,,0,,시군구
