시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,의료기관종별명,병상수(개),의료인수(명),입원실수(개),진료과목내용,연면적(㎡),WGS84위도,WGS84경도
고양시,일산중심재활병원,10228,"경기도 고양시 일산서구 미래로 227, 일산중심병원 지하1-지상4층 (덕이동)",경기도 고양시 일산서구 덕이동 613번지 3호 일산중심병원,2007-12-28,영업중,,병원,288,94,85,"내과, 신경과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과",9974.1,37.6997768166,126.7459052061
고양시,그레이스병원,10447,"경기도 고양시 일산동구 중앙로 1073, (지하2층,지하1층,1층중일부,2~9층)/중앙로1071(1층중 일부, 2~4층) (백석동)",경기도 고양시 일산동구 백석동 1334번지,1999-01-07,영업중,,병원,60,60,32,"내과, 외과, 산부인과, 소아청소년과, 영상의학과, 가정의학과",4721.17,37.6447608487,126.7850920150
고양시,해븐리병원,10338,"경기도 고양시 일산동구 중산로 117, 지하1층 일부, 1층 일부, 2~5층 (중산동)","경기도 고양시 일산동구 중산동 1696 지하1층 일부, 1층 일부, 2~5층",2008-07-11,영업중,,병원,178,31,40,"내과, 신경과, 정형외과, 영상의학과, 재활의학과, 가정의학과",4356.63,37.6825466963,126.7810323742
고양시,명성병원,10264,경기도 고양시 덕양구 내유길 146-4 (내유동),경기도 고양시 덕양구 내유동 114번지 1호,2005-05-05,취소/말소/만료/정지/중지,2016-01-08,병원,299,22,39,"내과, 신경과, 정신건강의학과, 산부인과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",4616.99,37.7226931259,126.8628199731
고양시,능곡병원,10507,경기도 고양시 덕양구 지도로 105 (토당동),경기도 고양시덕양구 토당동 840번지 3호,1991-10-12,폐업,2006-05-08,병원,63,7,0,"내과, 외과, 정형외과, 산부인과",1884,37.6264826766,126.8234346989
고양시,늘푸른병원,10298,경기도 고양시 덕양구 원당로 139 (주교동),경기도 고양시덕양구 주교동 554번지 3호,1994-05-13,폐업,1997-07-08,병원,0,3,0,"내과, 정형외과, 신경외과, 성형외과, 피부과, 재활의학과",1000,37.6636217772,126.8401161979
고양시,원당세란병원,10464,경기도 고양시 덕양구 고양대로 1359 (성사동),경기도 고양시덕양구 성사동 699번지 9호,1998-04-17,폐업,1999-11-30,병원,0,26,0,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 소아청소년과",1529.3,37.6551224843,126.8353392793
고양시,참사랑병원,10285,"경기도 고양시 덕양구 통일로768번길 18 (관산동,2층,3층,4층)","경기도 고양시 덕양구 관산동 180번지 1호 2층,3층,4층",2009-09-09,폐업,2010-10-13,병원,72,6,15,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 재활의학과, 가정의학과",848.68,37.6885486984,126.8657208575
고양시,봄여성병원,10503,경기도 고양시 덕양구 중앙로 620 (화정동),경기도 고양시 덕양구 화정2동 1148번지 4호,2003-04-03,폐업,2019-06-21,병원,36,42,22,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과",3653.77,37.6271867457,126.8299331926
고양시,건누리병원,10381,"경기도 고양시 일산서구 강성로 275, 스타타워빌딩 2층~8층 (대화동)",경기도 고양시 일산서구 대화동 2206번지 스타타워빌딩,2010-06-09,폐업,2023-08-11,병원,90,14,22,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 영상의학과, 병리과, 재활의학과, 가정의학과",2357.7,37.6772490952,126.7467229713
고양시,서울드림메디컬센터병원,10546,"경기도 고양시 덕양구 향기로 119, Urban place 5,6,7층 (향동동)","경기도 고양시 덕양구 향동동 525번지 Urban place 5,6,7층",2023-01-20,폐업,2023-04-20,병원,55,2,14,"내과, 외과, 정형외과, 신경외과, 성형외과, 소아청소년과, 이비인후과, 피부과, 재활의학과, 가정의학과",2146.23,37.6003849317,126.8939983576
고양시,참서울병원,10250,경기도 고양시 일산동구 성현로29번길 28-9 (성석동),경기도 고양시 일산동구 성석동 1227번지 10호,2009-10-09,폐업,2010-11-29,병원,120,8,28,"내과, 정신건강의학과, 산부인과",2800.58,37.7118864810,126.7917653604
고양시,참서울병원,10250,경기도 고양시 일산동구 성현로29번길 28-9 (성석동),경기도 고양시일산동구 성석동 1227번지 10호,2008-09-18,폐업,2009-09-02,병원,105,10,48,"내과, 재활의학과",3502.12,37.7118864810,126.7917653604
고양시,삼송우리병원,10568,"경기도 고양시 덕양구 권율대로 907, 3,4,5층 (신원동, KN빌딩)","경기도 고양시 덕양구 신원동 618-2번지 KN빌딩 3,4,5층",2014-12-17,폐업,2017-07-31,병원,172,7,22,"내과, 정형외과, 신경외과, 소아청소년과, 피부과, 재활의학과, 가정의학과, 응급의학과, 한방내과",3821.37,37.6645266073,126.8910395347
고양시,일산힐링스병원,10338,경기도 고양시 일산동구 고양대로 761 (중산동),경기도 고양시 일산동구 중산동 1695번지,2008-03-07,폐업,2012-07-25,병원,184,33,32,"신경외과, 재활의학과, 한방내과",5331.7,37.6825530810,126.7806013574
고양시,일산건강병원,10324,경기도 고양시 일산동구 고양대로 1061,경기도 고양시 일산동구 식사동 596-1,2005-05-05,폐업,2010-06-10,병원,294,24,42,"정신건강의학과, 가정의학과",3819.33,37.6703012849,126.8103032853
고양시,일산제일병원,10414,"경기도 고양시 일산동구 장백로 174 (장항동, /장백로 172, 6~7층/ 중앙로 1161, 3층)",경기도 고양시 일산동구 장항동 898번지 장항동 898/장항동 896-2.삼성화재㈜일산사옥 3층/장항동 898-1 6층7층,2000-06-10,폐업,2020-03-09,병원,36,17,21,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 가정의학과",4278.9,37.6504657415,126.7776122190
고양시,고양성모병원,412-470,"경기도 고양시 덕양구 통일로768번길 18 (관산동, 2층, 3층, 4층, 6층)","경기도 고양시 덕양구 관산동 180번지 1호 2층, 3층, 4층, 6층",2011-10-31,폐업,2012-02-02,병원,65,2,14,"내과, 외과, 정형외과, 소아청소년과, 재활의학과, 가정의학과",1119.32,37.6885486984,126.8657208575
고양시,십자병원,10464,경기도 고양시 덕양구 고양대로 1359-5 (성사동),경기도 고양시덕양구 성사동 699번지 7호,1997-07-28,폐업,2004-05-03,병원,66,4,0,"내과, 외과, 정형외과, 신경외과, 소아청소년과, 비뇨의학과, 가정의학과",1000,37.6552944943,126.8354737878
고양시,연세사랑병원,10464,경기도 고양시 덕양구 고양대로 1359-5,경기도 고양시 덕양구 성사동 699-7,2006-11-15,폐업,2012-07-16,병원,70,2,14,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 심장혈관흉부외과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",1593,37.6552944943,126.8354737878
고양시,참서울재활의학과병원,10250,경기도 고양시 일산동구 성현로29번길 28-9,경기도 고양시 일산동구 성석동 1227-10,2007-12-06,폐업,2008-09-18,병원,105,3,48,재활의학과,3502.12,37.7118473729,126.7911471445
고양시,무지개병원,411-809,경기도 고양시 일산서구 덕이로 212 (덕이동),경기도 고양시 일산서구 덕이동 1047번지 1호,2007-03-20,폐업,2008-09-01,병원,174,4,28,"내과, 마취통증의학과, 재활의학과",2594.83,37.6966883110,126.7393575183
고양시,참사랑병원,10285,경기도 고양시 덕양구 통일로768번길 18,"경기도 고양시 덕양구 관산동 180-1(2,3,4,6층)",2005-07-18,폐업,2010-10-13,병원,72,2,15,내과,951.77,37.6885486984,126.8657208575
고양시,포인트병원,10387,"경기도 고양시 일산서구 중앙로 1448 (주엽동, 2층~5층)",경기도 고양시 일산서구 주엽동 21번지 1호 2층~5층,2016-08-24,휴업,,병원,61,26,15,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과",2324,37.6711492750,126.7598700424
광명시,마리안나병원,14273,"경기도 광명시 광명로 844, 마리안나병원 (광명동)",경기도 광명시 광명동 290-23 마리안나병원,2011-11-30,영업/정상,,병원,30,9,11,"내과, 소아청소년과, 재활의학과, 가정의학과",3216.8,37.4744258198,126.8523236727
광명시,아이원병원,14316,"경기도 광명시 소하로75번길 10 (소하동, 하나로빌딩)",경기도 광명시 소하동,2016-07-11,영업/정상,,병원,72,38,42,"내과, 소아청소년과, 이비인후과, 피부과",2634.5,37.4479290831,126.8849762420
광명시,광명기대찬병원,14235,"경기도 광명시 오리로 872, 1-2, 4-7층 (철산동)",경기도 광명시 철산동 258,2019-03-11,영업/정상,,병원,30,12,9,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과",1817.59,37.4760847723,126.8657000358
광명시,광명21세기병원,14200,"경기도 광명시 광명로 963, 1~9층 (광명동)","경기도 광명시 광명동 51-5번지 , 1~9층",2013-05-29,영업/정상,,병원,55,29,15,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",2790.2,37.4846691995,126.8563524527
광명시,광명새움병원,14316,"경기도 광명시 오리로 518, 3~6층 (소하동)","경기도 광명시 소하동 1340-2번지 , 3~6층",2012-12-10,영업/정상,,병원,55,49,14,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",2711.92,37.4482021147,126.8820232685
광명시,마리안나병원,14273,"경기도 광명시 광명로 844, 마리안나병원 (광명동)",경기도 광명시 광명동 290-23 마리안나병원,2011-11-30,영업중,,병원,30,9,11,"내과, 소아청소년과, 재활의학과, 가정의학과",3216.8,37.4744258198,126.8523236727
광명시,광명기대찬병원,14235,"경기도 광명시 오리로 872, 1-2, 4-7층 (철산동)",경기도 광명시 철산동 258,2019-03-11,영업중,,병원,30,12,9,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과",1817.59,37.4760847723,126.8657000358
광명시,서울대효병원,423-050,"경기도 광명시 오리로 518, 9,10층 (소하동)",경기도 광명시 소하동 1340번지 2호,2012-07-06,폐업,2012-08-10,병원,49,8,8,"내과, 신경과, 영상의학과, 재활의학과, 가정의학과",1258.03,37.4482021147,126.8820232685
광명시,광명병원,423-803,"경기도 광명시 광명로 963 (광명동, 광명병원)",경기도 광명시 광명2동 51번지 5호,2011-03-09,폐업,2013-04-09,병원,96,9,21,"내과, 외과, 정형외과, 신경외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",2988.49,37.4846691995,126.8563524527
광명시,광명인병원,14305,"경기도 광명시 범안로 1046 (하안동, 광명인병원)",경기도 광명시 하안3동 36번지 2호,2000-01-03,폐업,2020-03-02,병원,57,14,11,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 재활의학과, 결핵과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",3589.29,37.4620331296,126.8793765541
광명시,광명연세병원,423-812,경기도 광명시 광명로 844 (광명동),경기도 광명시 광명5동 290번지 23호,2003-04-24,폐업,2011-11-22,병원,98,14,23,"내과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과",2717.9,37.4744258198,126.8523236727
광주시,더플러스병원,12761,경기도 광주시 경안로 40 (경안동),경기도 광주시 경안동 36-17번지,2013-10-10,영업/정상,,병원,62,16,14,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과, 가정의학과",1516,37.4095182128,127.2562056006
광주시,에스알씨(SRC)재활병원,12728,경기도 광주시 초월읍 경수길 25,경기도 광주시 초월읍 지월리 563번지 1호 외 7필지,1993-08-30,영업/정상,,병원,238,67,91,"내과, 소아청소년과, 영상의학과, 재활의학과, 가정의학과",11906.04,37.4195110154,127.2870710855
광주시,더플러스병원,12761,경기도 광주시 경안로 40 (경안동),경기도 광주시 경안동 36-17번지,2013-10-10,영업중,,병원,62,16,14,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과, 가정의학과",1516,37.4095182128,127.2562056006
광주시,에스알씨(SRC)재활병원,12728,경기도 광주시 초월읍 경수길 25,경기도 광주시 초월읍 지월리 563번지 1호 외 7필지,1993-08-30,영업중,,병원,238,67,91,"내과, 소아청소년과, 영상의학과, 재활의학과, 가정의학과",11906.04,37.4195110154,127.2870710855
광주시,연세대학교의과대학 세브란스정신건강병원,464-100,경기도 광주시 경충대로1926번길 119 (탄벌동),경기도 광주시 탄벌동 696-6,1990-12-22,폐업,2014-11-30,병원,88,46,26,"내과, 정신건강의학과, 가정의학과",5448,37.4116575425,127.2247503297
광주시,광주삼성병원,464-801,경기도 광주시 경안로 40 (경안동),경기도 광주시 경안동 36번지 17호,2009-10-19,폐업,2012-04-17,병원,104,16,18,"내과, 외과, 정형외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 응급의학과",2449,37.4095182128,127.2562056006
구리시,윤서병원,11918,경기도 구리시 건원대로 47 (인창동),경기도 구리시 인창동 344번지 19호,2003-04-01,영업/정상,,병원,136,37,32,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과",3577.54,37.6052119805,127.1395330341
구리시,의료법인기상의료재단카이저병원,11921,"경기도 구리시 건원대로 44, 5,6,7층 (인창동, 태영빌딩)","경기도 구리시 인창동 670번지 1호 태영빌딩 5,6,7층",2008-04-02,영업/정상,,병원,171,37,33,"내과, 정형외과, 재활의학과",3473,37.6050435956,127.1404741802
구리시,굿병원,11932,"경기도 구리시 검배로 46, 굿빌딩 2~9층,13층층 (수택동)",경기도 구리시 수택동 486번지 9호 굿빌딩,2012-02-23,영업/정상,,병원,93,22,23,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과",3990.02,37.5972934854,127.1439325735
구리시,오케이참병원,11918,"경기도 구리시 건원대로 95, 3,4,5,6층 (인창동, 인창프라자)","경기도 구리시 인창동 412-15번지 인창프라자 3,4,5,6층",2012-10-10,영업/정상,,병원,68,13,19,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과",2268,37.6093984244,127.1379606229
구리시,행복한외과병원,11932,"경기도 구리시 검배로 78 (수택동, 행복한외과)",경기도 구리시 수택동 489-1번지 행복한외과,2016-11-01,영업/정상,,병원,38,7,15,"내과, 외과, 정형외과, 피부과, 영상의학과",1304.36,37.5954181377,127.1467508193
구리시,국군구리병원,11913,"경기도 구리시 인창2로 177 (인창동, 국군구리병원)",경기도 구리시 인창동 661-8번지 국군구리병원,2017-09-19,영업/정상,,병원,42,38,12,"내과, 정신건강의학과, 외과, 정형외과, 안과, 이비인후과, 피부과, 영상의학과, 진단검사의학과, 구강악안면외과, 치과교정과",9705.11,37.6100354102,127.1193980366
구리시,재단법인원진녹색병원,11919,경기도 구리시 동구릉로 65 (인창동),경기도 구리시 인창동 527번지 44호,1999-06-01,영업/정상,,병원,103,66,28,"내과, 정신건강의학과, 외과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",6513.51,37.6059246921,127.1338875276
구리시,좋은아침병원,11924,"경기도 구리시 경춘로 144, 좋은아침빌딩 지하1~지상5층 (교문동)",경기도 구리시 교문동 199번지 1호 좋은아침빌딩,2015-08-10,영업/정상,,병원,88,63,17,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",4499,37.6004449626,127.1311388696
구리시,행복한외과병원,11932,경기도 구리시 검배로 78 (수택동),경기도 구리시 수택2동 489번지 1호,2009-11-13,폐업,2016-10-31,병원,50,3,15,"내과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 병리과, 재활의학과",1166,37.5954181377,127.1467508193
구리시,구리선병원,11927,경기도 구리시 체육관로172번길 55 (수택동),경기도 구리시 수택1동 383번지 16호,2009-12-28,폐업,2011-07-01,병원,94,9,23,"내과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 가정의학과",1876.73,37.6000192981,127.1392295602
구리시,참튼튼병원,11925,"경기도 구리시 체육관로 163 (교문동, 근린생활,의료,업무시설)","경기도 구리시 교문동 228번지 19호 (지하1층,2,3,4,6,7층)",2011-09-28,폐업,2020-12-01,병원,72,21,16,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 병리과, 재활의학과",2321.93,37.5991531533,127.1360164696
구리시,제일병원,11932,경기도 구리시 검배로 66 (수택동),경기도 구리시 수택2동 488번지 5호,2001-06-13,폐업,2017-01-02,병원,30,5,18,"내과, 외과, 정형외과, 소아청소년과, 비뇨의학과",951,37.5961719652,127.1456484420
구리시,우리병원,11932,경기도 구리시 검배로 74,경기도 구리시 수택2동 489번지 1호,2001-07-10,폐업,2009-02-13,병원,86,2,20,내과,1847.18,37.5956783715,127.1463644405
